Market Name,Outcome,Bet Price
Boston Red Sox - Rafael Devers Total Home Runs,Over 34.5,-115
Boston Red Sox - Rafael Devers Total Home Runs,Under 34.5,-115
Boston Red Sox - Rafael Devers Total RBIs,Over 102.5,-115
Boston Red Sox - Rafael Devers Total RBIs,Under 102.5,-115
Boston Red Sox - Rafael Devers Total Runs Scored,Over 97.5,-115
Boston Red Sox - Rafael Devers Total Runs Scored,Under 97.5,-115
Boston Red Sox - Triston Casas Total Home Runs,Over 25.5,-115
Boston Red Sox - Triston Casas Total Home Runs,Under 25.5,-115
Boston Red Sox - Triston Casas Total RBIs,Over 80.5,-115
Boston Red Sox - Triston Casas Total RBIs,Under 80.5,-115
Chicago Cubs - Christopher Morel Total Home Runs,Over 26.5,-115
Chicago Cubs - Christopher Morel Total Home Runs,Under 26.5,-115
Chicago Cubs - Dansby Swanson Total Hits,Over 140.5,-115
Chicago Cubs - Dansby Swanson Total Hits,Under 140.5,-115
Chicago Cubs - Dansby Swanson Total Home Runs,Over 22.5,-115
Chicago Cubs - Dansby Swanson Total Home Runs,Under 22.5,-115
Chicago Cubs - Dansby Swanson Total RBIs,Over 78.5,-115
Chicago Cubs - Dansby Swanson Total RBIs,Under 78.5,-115
Chicago Cubs - Ian Happ Total Hits,Over 130.5,-115
Chicago Cubs - Ian Happ Total Hits,Under 130.5,-115
Chicago Cubs - Ian Happ Total Home Runs,Over 21.5,-115
Chicago Cubs - Ian Happ Total Home Runs,Under 21.5,-115
Chicago Cubs - Nico Hoerner Total Hits,Over 157.5,-115
Chicago Cubs - Nico Hoerner Total Hits,Under 157.5,-115
Chicago Cubs - Nico Hoerner Total Runs Scored,Over 80.5,-115
Chicago Cubs - Nico Hoerner Total Runs Scored,Under 80.5,-115
Chicago Cubs - Nico Hoerner Total Stolen Bases,Over 31.5,-115
Chicago Cubs - Nico Hoerner Total Stolen Bases,Under 31.5,-115
Chicago White Sox - Andrew Vaughn Total Hits,Over 145.5,-115
Chicago White Sox - Andrew Vaughn Total Hits,Under 145.5,-115
Chicago White Sox - Andrew Vaughn Total Home Runs,Over 23.5,-105
Chicago White Sox - Andrew Vaughn Total Home Runs,Under 23.5,-125
Chicago White Sox - Eloy Jimenez Total Home Runs,Over 21.5,-115
Chicago White Sox - Eloy Jimenez Total Home Runs,Under 21.5,-115
Chicago White Sox - Eloy Jimenez Total RBIs,Over 74.5,-115
Chicago White Sox - Eloy Jimenez Total RBIs,Under 74.5,-115
Chicago White Sox - Luis Robert Jr. Total Hits,Over 155.5,-115
Chicago White Sox - Luis Robert Jr. Total Hits,Under 155.5,-115
Chicago White Sox - Luis Robert Jr. Total Runs Scored,Over 81.5,-115
Chicago White Sox - Luis Robert Jr. Total Runs Scored,Under 81.5,-115
Chicago White Sox - Luis Robert Jr. Total Home Runs,Over 29.5,-115
Chicago White Sox - Luis Robert Jr. Total Home Runs,Under 29.5,-115
Chicago White Sox - Luis Robert Jr. Total RBIs,Over 90.5,-115
Chicago White Sox - Luis Robert Jr. Total RBIs,Under 90.5,-115
Cincinnati Reds - Elly De la Cruz Total Hits,Over 133.5,-110
Cincinnati Reds - Elly De la Cruz Total Hits,Under 133.5,-120
Cincinnati Reds - Elly De la Cruz Total Home Runs,Over 21.5,-115
