,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
130,Chris Paddack,MIN,"SP,RP",NYM at SD,5.5,5.5,0.46511627906976744,0.5575221238938053,(+115),(-126),2021-06-06
131,Domingo German,FA,SP,BOS at NYY,5.5,5.5,0.504950495049505,0.5,(-102),(EVEN),2021-06-06
132,Garrett Richards,FA,RP,BOS at NYY,4.5,5.5,0.5412844036697247,0.609375,(-118),(-156),2021-06-06
133,Eduardo Rodriguez,ARI,SP,MIA at BOS,6.5,6.5,0.5283018867924528,0.5283018867924528,(-112),(-112),2021-06-07
134,Pablo Lopez,MIN,SP,MIA at BOS,5.5,5.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-06-07
135,Nick Pivetta,BOS,"SP,RP",MIA at BOS,6.5,6.5,0.47619047619047616,0.5726495726495726,(+110),(-134),2021-06-07
136,Sandy Alcantara,MIA,SP,MIA at BOS,6.5,6.5,0.390625,0.6721311475409836,(+156),(-205),2021-06-07
137,Dylan Bundy,FA,SP,KC at LAA,5.5,5.5,0.5260663507109005,0.5412844036697247,(-111),(-118),2021-06-07
138,Adbert Alzolay,CHC,RP,CHC at SD,6.5,6.5,0.45454545454545453,0.6031746031746031,(+120),(-152),2021-06-07
139,Bruce Zimmerman,BAL,RP,NYM at BAL,3.5,4.5,0.6168582375478927,0.6503496503496503,(-161),(-186),2021-06-08
140,David Peterson,NYM,"SP,RP",NYM at BAL,4.5,4.5,0.4716981132075472,0.5348837209302325,(+112),(-115),2021-06-08
141,Aaron Nola,PHI,SP,ATL at PHI,7.5,7.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-06-08
142,Drew Smyly,CHC,"SP,RP",ATL at PHI,6.5,6.5,0.43103448275862066,0.6062992125984252,(+132),(-154),2021-06-08
143,Jonathan Brubaker,PIT,SP,LAD at PIT,4.5,4.5,0.46296296296296297,0.5412844036697247,(+116),(-118),2021-06-08
144,Walker Buehler,LAD,SP,LAD at PIT,5.5,6.5,0.6168582375478927,0.5652173913043478,(-161),(-130),2021-06-08
145,Pablo Lopez,MIN,SP,COL at MIA,5.5,6.5,0.5815899581589958,0.576271186440678,(-139),(-136),2021-06-08
146,Antonio Senzatela,COL,SP,COL at MIA,4.5,4.5,0.42735042735042733,0.6168582375478927,(+134),(-161),2021-06-08
147,Sonny Gray,STL,SP,MIL at CIN,6.5,7.5,0.5614035087719298,0.5833333333333334,(-128),(-140),2021-06-08
148,Adrian Houser,NYM,SP,MIL at CIN,4.5,4.5,0.45454545454545453,0.6168582375478927,(+120),(-161),2021-06-08
149,Framber Valdez,HOU,SP,HOU at BOS,5.5,5.5,0.5,0.5614035087719298,(EVEN),(-128),2021-06-08
150,Martin Perez,PIT,"SP,RP",HOU at BOS,3.5,3.5,0.5412844036697247,0.5192307692307693,(-118),(-108),2021-06-08
151,Marco Gonzales,PIT,SP,SEA at DET,4.5,4.5,0.5575221238938053,0.504950495049505,(-126),(-102),2021-06-08
152,Matt Boyd,FA,"RP,SP",SEA at DET,5.5,6.5,0.588477366255144,0.635036496350365,(-143),(-174),2021-06-08
153,Tyler Glasnow,LAD,SP,WSH at TB,8.5,8.5,0.45871559633027525,0.5815899581589958,(+118),(-139),2021-06-08
154,Jon Lester,FA,SP,WSH at TB,4.5,4.5,0.5121951219512195,0.5098039215686274,(-105),(-104),2021-06-08
155,Jordan Lyles,KC,SP,SF at TEX,4.5,4.5,0.4716981132075472,0.5348837209302325,(+112),(-115),2021-06-08
156,Alex Wood,OAK,"RP,SP",SF at TEX,6.5,6.5,0.43478260869565216,0.6254681647940075,(+130),(-167),2021-06-08
157,Carlos Rodon,NYY,SP,TOR at CWS,7.5,7.5,0.5,0.5121951219512195,(EVEN),(-105),2021-06-08
158,Robbie Ray,SF,SP,TOR at CWS,6.5,7.5,0.6062992125984252,0.6721311475409836,(-154),(-205),2021-06-08
159,Michael Pineda,FA,SP,NYY at MIN,4.5,5.5,0.6062992125984252,0.5967741935483871,(-154),(-148),2021-06-08
160,Jordan Montgomery,FA,SP,NYY at MIN,5.5,5.5,0.5192307692307693,0.5260663507109005,(-108),(-111),2021-06-08
161,Shane Bieber,CLE,SP,CLE at STL,7.5,8.5,0.6138996138996139,0.6031746031746031,(-159),(-152),2021-06-08
162,Carlos Martinez,FA,SP,CLE at STL,3.5,4.5,0.6062992125984252,0.6240601503759399,(-154),(-166),2021-06-08
163,Kris Bubic,KC,SP,KC at LAA,4.5,5.5,0.5815899581589958,0.6825396825396826,(-139),(-215),2021-06-08
164,Andrew Heaney,TEX,"SP,RP",KC at LAA,6.5,7.5,0.5708154506437768,0.6453900709219859,(-133),(-182),2021-06-08
165,Chris Bassitt,TOR,SP,ARI at OAK,6.5,6.5,0.45454545454545453,0.5614035087719298,(+120),(-128),2021-06-08
166,Zach Davies,FA,SP,CHC at SD,3.5,3.5,0.425531914893617,0.6,(+135),(-150),2021-06-08
167,Kyle Gibson,STL,SP,SF at TEX,4.5,4.5,0.6031746031746031,0.45454545454545453,(-152),(+120),2021-06-09
168,Matt Peacock,FA,RP,ARI at OAK,3.5,3.5,0.43478260869565216,0.5726495726495726,(+130),(-134),2021-06-09
169,Sean Manaea,NYM,"SP,RP",ARI at OAK,5.5,5.5,0.5238095238095238,0.49504950495049505,(-110),(+102),2021-06-09
170,Yu Darvish,SD,SP,CHC at SD,7.5,7.5,0.5,0.5575221238938053,(EVEN),(-126),2021-06-09
171,Jake Arrieta,FA,SP,CHC at SD,3.5,3.5,0.5575221238938053,0.45454545454545453,(-126),(+120),2021-06-09
172,Zach Eflin,TB,SP,ATL at PHI,5.5,6.5,0.6062992125984252,0.6428571428571429,(-154),(-180),2021-06-09
173,Anthony Gonsolin,LAD,SP,LAD at PIT,4.5,4.5,0.4807692307692308,0.576271186440678,(+108),(-136),2021-06-09
174,Tyler Anderson,LAA,SP,LAD at PIT,4.5,5.5,0.5708154506437768,0.6621621621621622,(-133),(-196),2021-06-09
175,Taijuan Walker,PHI,SP,NYM at BAL,4.5,5.5,0.5454545454545454,0.6428571428571429,(-120),(-180),2021-06-09
176,Austin Gomber,COL,SP,COL at MIA,6.5,6.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-06-09
177,Casey Mize,DET,SP,SEA at DET,5.5,5.5,0.45871559633027525,0.588477366255144,(+118),(-143),2021-06-09
178,Chris Flexen,CWS,"SP,RP",SEA at DET,3.5,4.5,0.6062992125984252,0.609375,(-154),(-156),2021-06-09
179,Shane Mcclanahan,TB,SP,WSH at TB,6.5,6.5,0.42735042735042733,0.6323529411764706,(+134),(-172),2021-06-09
180,Patrick Corbin,WSH,SP,WSH at TB,5.5,6.5,0.4878048780487805,0.6428571428571429,(+105),(-180),2021-06-09
181,Vladimir Gutierrez,FA,SP,MIL at CIN,4.5,4.5,0.504950495049505,0.5535714285714286,(-102),(-124),2021-06-09
182,Brett Anderson,FA,SP,MIL at CIN,2.5,3.5,0.6453900709219859,0.6268656716417911,(-182),(-168),2021-06-09
183,Nathan Eovaldi,TEX,SP,HOU at BOS,4.5,4.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-06-09
184,Jake Odorizzi,FA,SP,HOU at BOS,4.5,4.5,0.5614035087719298,0.5,(-128),(EVEN),2021-06-09
185,Alek Manoah P,TOR,SP,TOR at CWS,5.5,5.5,0.43103448275862066,0.6268656716417911,(+132),(-168),2021-06-09
186,Lance Lynn,STL,SP,TOR at CWS,6.5,7.5,0.5454545454545454,0.6376811594202898,(-120),(-176),2021-06-09
187,Gerrit Cole,NYY,SP,NYY at MIN,8.5,8.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-06-09
188,Randy Dobnak,MIN,"SP,RP",NYY at MIN,3.5,3.5,0.45454545454545453,0.5614035087719298,(+120),(-128),2021-06-09
189,Adam Wainwright,FA,SP,CLE at STL,5.5,5.5,0.46511627906976744,0.5833333333333334,(+115),(-140),2021-06-09
190,Griffin Canning,LAA,SP,KC at LAA,5.5,5.5,0.5454545454545454,0.4672897196261682,(-120),(+114),2021-06-09
191,Brad Keller,FA,"SP,RP",KC at LAA,4.5,4.5,0.504950495049505,0.5575221238938053,(-102),(-126),2021-06-09
192,Luis Castillo,SEA,SP,MIL at CIN,5.5,6.5,0.6062992125984252,0.6062992125984252,(-154),(-154),2021-06-10
193,Freddy Peralta,MIL,SP,MIL at CIN,7.5,7.5,0.5454545454545454,0.5238095238095238,(-120),(-110),2021-06-10
194,Julio Urias,FA,SP,LAD at PIT,5.5,6.5,0.5238095238095238,0.6428571428571429,(-110),(-180),2021-06-10
195,Mitch Keller,PIT,SP,LAD at PIT,4.5,4.5,0.46296296296296297,0.5967741935483871,(+116),(-148),2021-06-10
196,Ian Anderson,ATL,SP,ATL at PHI,6.5,6.5,0.46511627906976744,0.5833333333333334,(+115),(-140),2021-06-10
197,Zack Wheeler,PHI,SP,ATL at PHI,7.5,8.5,0.5121951219512195,0.6621621621621622,(-105),(-196),2021-06-10
198,Justus Sheffield,FA,"RP,SP",SEA at DET,4.5,4.5,0.5,0.5238095238095238,(EVEN),(-110),2021-06-10
199,Trevor Rogers,MIA,SP,COL at MIA,6.5,6.5,0.5348837209302325,0.5098039215686274,(-115),(-104),2021-06-10
200,Chi Chi Gonzalez,FA,"RP,SP",COL at MIA,3.5,3.5,0.504950495049505,0.5535714285714286,(-102),(-124),2021-06-10
201,Zack Greinke,FA,SP,HOU at BOS,4.5,4.5,0.4672897196261682,0.5555555555555556,(+114),(-125),2021-06-10
202,Eduardo Rodriguez,ARI,SP,HOU at BOS,5.5,5.5,0.4424778761061947,0.5815899581589958,(+126),(-139),2021-06-10
203,Ja Happ,FA,SP,NYY at MIN,4.5,4.5,0.4854368932038835,0.5348837209302325,(+106),(-115),2021-06-10
204,Hyun Jin Ryu,FA,SP,TOR at CWS,5.5,5.5,0.4878048780487805,0.5454545454545454,(+105),(-120),2021-06-10
205,Dallas Keuchel,FA,SP,TOR at CWS,3.5,3.5,0.47619047619047616,0.5614035087719298,(+110),(-128),2021-06-10
206,Frankie Montas,CIN,"SP,RP",KC at OAK,5.5,5.5,0.5121951219512195,0.5412844036697247,(-105),(-118),2021-06-10
207,Mike Minor,FA,SP,KC at OAK,6.5,6.5,0.5121951219512195,0.5412844036697247,(-105),(-118),2021-06-10
