,name,team,position,matchup,over_line,under_line,over_cost,under_cost,over_cost_USA,under_cost_USA,date
127,Jose Urena,TEX,SP,DET at CLE,3.5,3.5,0.46511627906976744,0.5689655172413793,(+115),(-132),2021-04-11
128,Mike Minor,FA,SP,KC at CWS,6.5,6.5,0.43859649122807015,0.6212121212121212,(+128),(-164),2021-04-11
129,Dylan Cease,CWS,SP,KC at CWS,5.5,5.5,0.373134328358209,0.6825396825396826,(+168),(-215),2021-04-11
130,Chris Flexen,CWS,"SP,RP",SEA at MIN,4.5,4.5,0.3472222222222222,0.7142857142857143,(+188),(-250),2021-04-11
131,Brett Anderson,FA,SP,MIL at STL,3.5,3.5,0.504950495049505,0.5412844036697247,(-102),(-118),2021-04-11
132,Adrian Morejon P,SD,RP,SD at TEX,4.5,4.5,0.49504950495049505,0.5614035087719298,(+102),(-128),2021-04-11
133,Michael Foltynewicz,FA,SP,SD at TEX,4.5,4.5,0.5192307692307693,0.5412844036697247,(-108),(-118),2021-04-11
134,German Marquez,COL,SP,COL at SF,5.5,5.5,0.45454545454545453,0.5614035087719298,(+120),(-128),2021-04-11
135,Anthony Desclafani,MIN,SP,COL at SF,4.5,4.5,0.504950495049505,0.5348837209302325,(-102),(-115),2021-04-11
136,Clayton Kershaw,LAD,SP,WSH at LAD,6.5,6.5,0.5614035087719298,0.49504950495049505,(-128),(+102),2021-04-11
137,Max Scherzer,TEX,SP,WSH at LAD,7.5,8.5,0.6894409937888198,0.5495495495495496,(-222),(-122),2021-04-11
138,Luke Weaver,NYY,SP,CIN at ARI,5.5,5.5,0.504950495049505,0.5,(-102),(EVEN),2021-04-11
139,Drew Smyly,CHC,"SP,RP",PHI at ATL,6.5,6.5,0.5412844036697247,0.504950495049505,(-118),(-102),2021-04-11
140,Matt Moore,LAA,RP,PHI at ATL,5.5,5.5,0.43859649122807015,0.6062992125984252,(+128),(-154),2021-04-11
141,Yu Darvish,SD,SP,SD at PIT,7.5,7.5,0.45871559633027525,0.588477366255144,(+118),(-143),2021-04-12
142,Trevor Cahill,FA,SP,SD at PIT,4.5,4.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-04-12
143,Robbie Ray,SF,SP,NYY at TOR,6.5,6.5,0.38461538461538464,0.6774193548387096,(+160),(-210),2021-04-12
144,Gerrit Cole,NYY,SP,NYY at TOR,8.5,8.5,0.46511627906976744,0.5238095238095238,(+115),(-110),2021-04-12
145,Dane Dunning,TEX,"SP,RP",TEX at TB,4.5,5.5,0.5121951219512195,0.6621621621621622,(-105),(-196),2021-04-12
146,Tyler Glasnow,LAD,SP,TEX at TB,8.5,8.5,0.5121951219512195,0.504950495049505,(-105),(-102),2021-04-12
147,Huascar Ynoa,ATL,SP,MIA at ATL,4.5,4.5,0.49504950495049505,0.5652173913043478,(+102),(-130),2021-04-12
148,Sandy Alcantara,MIA,SP,MIA at ATL,5.5,5.5,0.6,0.45871559633027525,(-150),(+118),2021-04-12
149,Adbert Alzolay,CHC,RP,CHC at MIL,5.5,5.5,0.47619047619047616,0.5833333333333334,(+110),(-140),2021-04-12
150,Freddy Peralta,MIL,SP,CHC at MIL,7.5,7.5,0.6062992125984252,0.46511627906976744,(-154),(+115),2021-04-12
151,John Gant,FA,"SP,RP",WSH at STL,4.5,5.5,0.5238095238095238,0.6376811594202898,(-110),(-176),2021-04-12
152,Erick Fedde,CWS,SP,WSH at STL,3.5,3.5,0.43103448275862066,0.6268656716417911,(+132),(-168),2021-04-12
153,Triston Mckenzie P,CLE,SP,CLE at CWS,5.5,6.5,0.6254681647940075,0.6453900709219859,(-167),(-182),2021-04-12
154,Carlos Rodon,NYY,SP,CLE at CWS,5.5,5.5,0.47619047619047616,0.5614035087719298,(+110),(-128),2021-04-12
155,Brady Singer,KC,SP,LAA at KC,4.5,4.5,0.4854368932038835,0.5,(+106),(EVEN),2021-04-12
156,Zack Greinke,FA,SP,DET at HOU,5.5,5.5,0.5145631067961165,0.5348837209302325,(-106),(-115),2021-04-12
157,Casey Mize,DET,SP,DET at HOU,3.5,3.5,0.5,0.5495495495495496,(EVEN),(-122),2021-04-12
158,Chris Bassitt,TOR,SP,OAK at ARI,4.5,5.5,0.5283018867924528,0.6168582375478927,(-112),(-161),2021-04-12
159,Madison Bumgarner,FA,SP,OAK at ARI,5.5,5.5,0.4854368932038835,0.5454545454545454,(+106),(-120),2021-04-12
160,Aaron Sanchez,FA,"SP,RP",CIN at SF,4.5,4.5,0.4878048780487805,0.5614035087719298,(+105),(-128),2021-04-12
161,Wade Miley,MIL,SP,CIN at SF,3.5,4.5,0.5983935742971888,0.6124031007751938,(-149),(-158),2021-04-12
162,Kenta Maeda,DET,SP,BOS at MIN,7.5,7.5,0.4807692307692308,0.5798319327731093,(+108),(-138),2021-04-13
163,Zac Gallen,ARI,SP,OAK at ARI,7.5,7.5,0.423728813559322,0.635036496350365,(+136),(-174),2021-04-13
164,Jesus Luzardo,MIA,SP,OAK at ARI,5.5,6.5,0.588477366255144,0.6323529411764706,(-143),(-172),2021-04-13
165,Chad Kuhl,CWS,"RP,SP",SD at PIT,4.5,5.5,0.5238095238095238,0.6774193548387096,(-110),(-210),2021-04-13
166,Blake Snell,FA,SP,SD at PIT,6.5,7.5,0.588477366255144,0.6621621621621622,(-143),(-196),2021-04-13
167,Jameson Taillon,CHC,SP,NYY at TOR,5.5,5.5,0.43859649122807015,0.6212121212121212,(+128),(-164),2021-04-13
168,Hyun Jin Ryu,FA,SP,NYY at TOR,5.5,5.5,0.5,0.5535714285714286,(EVEN),(-124),2021-04-13
169,Ryan Yarbrough,LAD,"SP,RP",TEX at TB,5.5,5.5,0.4878048780487805,0.5412844036697247,(+105),(-118),2021-04-13
170,Kyle Gibson,STL,SP,TEX at TB,4.5,5.5,0.5983935742971888,0.609375,(-149),(-156),2021-04-13
171,Justus Sheffield,FA,"RP,SP",SEA at BAL,4.5,4.5,0.5238095238095238,0.5283018867924528,(-110),(-112),2021-04-13
